route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Local Weekday,81964,M132,San Jose Diridon,1,,p_1438440,M132,1,1
Local Weekday,72982,132,San Jose Diridon,1,,p_1438440,132,1,1
Local Weekday,72982,134,San Jose Diridon,1,,p_1438440,134,1,1
Local Weekday,81964,M134,San Jose Diridon,1,,p_1438440,M134,1,1
Local Weekday,72982,136,San Jose Diridon,1,,p_1438440,136,1,1
Local Weekday,81964,M136,San Jose Diridon,1,,p_1438440,M136,1,1
Local Weekday,72982,138,San Jose Diridon,1,,p_1438440,138,1,1
Local Weekday,81964,M138,San Jose Diridon,1,,p_1438440,M138,1,1
Local Weekday,81964,M142,San Jose Diridon,1,,p_1438440,M142,1,1
Local Weekday,72982,142,San Jose Diridon,1,,p_1438440,142,1,1
Local Weekday,72982,144,San Jose Diridon,1,,p_1438440,144,1,1
Local Weekday,81964,M144,San Jose Diridon,1,,p_1438440,M144,1,1
Local Weekday,72982,146,San Jose Diridon,1,,p_1438440,146,1,1
Local Weekday,81964,M146,San Jose Diridon,1,,p_1438440,M146,1,1
Local Weekday,81964,M148,San Jose Diridon,1,,p_1438440,M148,1,1
Local Weekday,72982,148,San Jose Diridon,1,,p_1438440,148,1,1
Local Weekday,81964,M150,San Jose Diridon,1,,p_1438440,M150,1,1
Local Weekday,72982,150,San Jose Diridon,1,,p_1438440,150,1,1
Local Weekday,81964,M152,San Jose Diridon,1,,p_1438440,M152,1,1
Local Weekday,72982,152,San Jose Diridon,1,,p_1438440,152,1,1
Local Weekday,81964,M154,San Jose Diridon,1,,p_1438440,M154,1,1
Local Weekday,72982,154,San Jose Diridon,1,,p_1438440,154,1,1
Local Weekday,72982,156,San Jose Diridon,1,,p_1438440,156,1,1
Local Weekday,81964,M156,San Jose Diridon,1,,p_1438440,M156,1,1
Local Weekday,72982,158,San Jose Diridon,1,,p_1438440,158,1,1
Local Weekday,81964,M158,San Jose Diridon,1,,p_1438440,M158,1,1
Local Weekday,72982,160,San Jose Diridon,1,,p_1438440,160,1,1
Local Weekday,81964,M160,San Jose Diridon,1,,p_1438440,M160,1,1
Local Weekday,81964,M162,San Jose Diridon,1,,p_1438440,M162,1,1
Local Weekday,72982,162,San Jose Diridon,1,,p_1438440,162,1,1
Local Weekday,72982,164,San Jose Diridon,1,,p_1438440,164,1,1
Local Weekday,81964,M164,San Jose Diridon,1,,p_1438440,M164,1,1
Local Weekday,81964,M166,San Jose Diridon,1,,p_1438440,M166,1,1
Local Weekday,72982,166,San Jose Diridon,1,,p_1438440,166,1,1
Local Weekday,72982,168,San Jose Diridon,1,,p_1438440,168,1,1
Local Weekday,81964,M168,San Jose Diridon,1,,p_1438440,M168,1,1
Local Weekday,81964,M170,San Jose Diridon,1,,p_1438440,M170,1,1
Local Weekday,72982,170,San Jose Diridon,1,,p_1438440,170,1,1
Local Weekday,72982,172,San Jose Diridon,1,,p_1438440,172,1,1
Local Weekday,81964,M172,San Jose Diridon,1,,p_1438440,M172,1,1
Local Weekday,81964,M174,San Jose Diridon,1,,p_1438440,M174,1,1
Local Weekday,72982,174,San Jose Diridon,1,,p_1438440,174,1,1
Local Weekday,72982,176,San Jose Diridon,1,,p_1438440,176,1,1
Local Weekday,81964,M176,San Jose Diridon,1,,p_1438440,M176,1,1
Local Weekday,72982,101,San Francisco,0,,p_1438439,101,1,1
Local Weekday,81964,M101,San Francisco,0,,p_1438439,M101,1,1
Local Weekday,72982,103,San Francisco,0,,p_1438439,103,1,1
Local Weekday,81964,M103,San Francisco,0,,p_1438439,M103,1,1
Local Weekday,81964,M105,San Francisco,0,,p_1438439,M105,1,1
Local Weekday,72982,105,San Francisco,0,,p_1438439,105,1,1
Local Weekday,72982,107,San Francisco,0,,p_1438439,107,1,1
Local Weekday,81964,M107,San Francisco,0,,p_1438439,M107,1,1
Local Weekday,72982,109,San Francisco,0,,p_1438439,109,1,1
Local Weekday,81964,M109,San Francisco,0,,p_1438439,M109,1,1
Local Weekday,72982,111,San Francisco,0,,p_1438439,111,1,1
Local Weekday,81964,M111,San Francisco,0,,p_1438439,M111,1,1
Local Weekday,72982,115,San Francisco,0,,p_1438439,115,1,1
Local Weekday,81964,M115,San Francisco,0,,p_1438439,M115,1,1
Local Weekday,72982,117,San Francisco,0,,p_1438439,117,1,1
Local Weekday,81964,M117,San Francisco,0,,p_1438439,M117,1,1
Local Weekday,72982,119,San Francisco,0,,p_1438439,119,1,1
Local Weekday,81964,M119,San Francisco,0,,p_1438439,M119,1,1
Local Weekday,81964,M121,San Francisco,0,,p_1438439,M121,1,1
Local Weekday,72982,121,San Francisco,0,,p_1438439,121,1,1
Local Weekday,81964,M123,San Francisco,0,,p_1438439,M123,1,1
Local Weekday,72982,123,San Francisco,0,,p_1438439,123,1,1
Local Weekday,81964,M125,San Francisco,0,,p_1438439,M125,1,1
Local Weekday,72982,125,San Francisco,0,,p_1438439,125,1,1
Local Weekday,81964,M127,San Francisco,0,,p_1438439,M127,1,1
Local Weekday,72982,127,San Francisco,0,,p_1438439,127,1,1
Local Weekday,72982,129,San Francisco,0,,p_1438439,129,1,1
Local Weekday,81964,M129,San Francisco,0,,p_1438439,M129,1,1
Local Weekday,81964,M131,San Francisco,0,,p_1438439,M131,1,1
Local Weekday,72982,131,San Francisco,0,,p_1438439,131,1,1
Local Weekday,72982,133,San Francisco,0,,p_1438439,133,1,1
Local Weekday,81964,M133,San Francisco,0,,p_1438439,M133,1,1
Local Weekday,81964,M135,San Francisco,0,,p_1438439,M135,1,1
Local Weekday,72982,135,San Francisco,0,,p_1438439,135,1,1
Local Weekday,72982,137,San Francisco,0,,p_1438439,137,1,1
Local Weekday,81964,M137,San Francisco,0,,p_1438439,M137,1,1
Local Weekday,72982,139,San Francisco,0,,p_1438439,139,1,1
Local Weekday,81964,M139,San Francisco,0,,p_1438439,M139,1,1
Local Weekday,81964,M143,San Francisco,0,,p_1438439,M143,1,1
Local Weekday,72982,143,San Francisco,0,,p_1438439,143,1,1
Local Weekday,81964,M145,San Francisco,0,,p_1438439,M145,1,1
Local Weekday,72982,145,San Francisco,0,,p_1438439,145,1,1
Local Weekday,81964,M147,San Francisco,0,,p_1438439,M147,1,1
Local Weekday,72982,147,San Francisco,0,,p_1438439,147,1,1
Local Weekday,72982,149,San Francisco,0,,p_1438439,149,1,1
Local Weekday,81964,M149,San Francisco,0,,p_1438439,M149,1,1
Local Weekday,81964,M151,San Francisco,0,,p_1438439,M151,1,1
Local Weekday,72982,151,San Francisco,0,,p_1438439,151,1,1
Local Weekday,81964,M153,San Francisco,0,,p_1438439,M153,1,1
Local Weekday,72982,153,San Francisco,0,,p_1438439,153,1,1
Local Weekday,72982,155,San Francisco,0,,p_1438439,155,1,1
Local Weekday,81964,M155,San Francisco,0,,p_1438439,M155,1,1
Local Weekday,81964,M157,San Francisco,0,,p_1438439,M157,1,1
Local Weekday,72982,157,San Francisco,0,,p_1438439,157,1,1
Local Weekday,72982,159,San Francisco,0,,p_1438439,159,1,1
Local Weekday,81964,M159,San Francisco,0,,p_1438439,M159,1,1
Local Weekday,81964,M161,San Francisco,0,,p_1438439,M161,1,1
Local Weekday,72982,161,San Francisco,0,,p_1438439,161,1,1
Local Weekday,72982,163,San Francisco,0,,p_1438439,163,1,1
Local Weekday,81964,M163,San Francisco,0,,p_1438439,M163,1,1
Local Weekday,81964,M165,San Francisco,0,,p_1438439,M165,1,1
Local Weekday,72982,165,San Francisco,0,,p_1438439,165,1,1
Local Weekday,72982,167,San Francisco,0,,p_1438439,167,1,1
Local Weekday,81964,M167,San Francisco,0,,p_1438439,M167,1,1
Local Weekday,81964,M169,San Francisco,0,,p_1438439,M169,1,1
Local Weekday,72982,169,San Francisco,0,,p_1438439,169,1,1
Local Weekday,72982,171,San Francisco,0,,p_1438439,171,1,1
Local Weekday,81964,M171,San Francisco,0,,p_1438439,M171,1,1
Local Weekday,81964,M173,San Francisco,0,,p_1438439,M173,1,1
Local Weekday,72982,173,San Francisco,0,,p_1438439,173,1,1
Local Weekend,72981,601,San Francisco,0,,p_1438274,601,1,1
Local Weekend,72981,603,San Francisco,0,,p_1438274,603,1,1
Local Weekend,72981,605,San Francisco,0,,p_1438274,605,1,1
Local Weekend,72981,607,San Francisco,0,,p_1438274,607,1,1
Local Weekend,72981,609,San Francisco,0,,p_1438274,609,1,1
Local Weekend,72981,611,San Francisco,0,,p_1438274,611,1,1
Local Weekend,72981,613,San Francisco,0,,p_1438274,613,1,1
Local Weekend,72981,615,San Francisco,0,,p_1438274,615,1,1
Local Weekend,72981,617,San Francisco,0,,p_1438274,617,1,1
Local Weekend,72981,619,San Francisco,0,,p_1438274,619,1,1
Local Weekend,72981,621,San Francisco,0,,p_1438274,621,1,1
Local Weekend,72981,623,San Francisco,0,,p_1438274,623,1,1
Local Weekend,72981,625,San Francisco,0,,p_1438274,625,1,1
Local Weekend,72981,627,San Francisco,0,,p_1438274,627,1,1
Local Weekend,72981,629,San Francisco,0,,p_1438274,629,1,1
Local Weekend,72981,631,San Francisco,0,,p_1438274,631,1,1
Local Weekend,72981,633,San Francisco,0,,p_1438274,633,1,1
Local Weekend,72981,635,San Francisco,0,,p_1438274,635,1,1
Local Weekend,72981,637,San Francisco,0,,p_1438274,637,1,1
Local Weekend,72981,639,San Francisco,0,,p_1438274,639,1,1
Local Weekend,72981,641,San Francisco,0,,p_1438274,641,1,1
Local Weekend,72981,643,San Francisco,0,,p_1438274,643,1,1
Local Weekend,72981,645,San Francisco,0,,p_1438274,645,1,1
Local Weekend,72981,647,San Francisco,0,,p_1438274,647,1,1
Local Weekend,72981,649,San Francisco,0,,p_1438274,649,1,1
Local Weekend,72981,651,San Francisco,0,,p_1438274,651,1,1
Local Weekend,72981,653,San Francisco,0,,p_1438274,653,1,1
Local Weekend,72981,655,San Francisco,0,,p_1438274,655,1,1
Local Weekend,72981,657,San Francisco,0,,p_1438274,657,1,1
Local Weekend,72981,659,San Francisco,0,,p_1438274,659,1,1
Local Weekend,72981,661,San Francisco,0,,p_1438274,661,1,1
Local Weekend,72981,663,San Francisco,0,,p_1438274,663,1,1
Local Weekend,72981,665,San Francisco,0,,p_1438274,665,1,1
Local Weekend,72981,602,San Jose Diridon,1,,p_1438275,602,1,1
Local Weekend,72981,604,San Jose Diridon,1,,p_1438275,604,1,1
Local Weekend,72981,606,San Jose Diridon,1,,p_1438275,606,1,1
Local Weekend,72981,608,San Jose Diridon,1,,p_1438275,608,1,1
Local Weekend,72981,610,San Jose Diridon,1,,p_1438275,610,1,1
Local Weekend,72981,612,San Jose Diridon,1,,p_1438275,612,1,1
Local Weekend,72981,614,San Jose Diridon,1,,p_1438275,614,1,1
Local Weekend,72981,616,San Jose Diridon,1,,p_1438275,616,1,1
Local Weekend,72981,618,San Jose Diridon,1,,p_1438275,618,1,1
Local Weekend,72981,620,San Jose Diridon,1,,p_1438275,620,1,1
Local Weekend,72981,622,San Jose Diridon,1,,p_1438275,622,1,1
Local Weekend,72981,624,San Jose Diridon,1,,p_1438275,624,1,1
Local Weekend,72981,626,San Jose Diridon,1,,p_1438275,626,1,1
Local Weekend,72981,628,San Jose Diridon,1,,p_1438275,628,1,1
Local Weekend,72981,630,San Jose Diridon,1,,p_1438275,630,1,1
Local Weekend,72981,632,San Jose Diridon,1,,p_1438275,632,1,1
Local Weekend,72981,634,San Jose Diridon,1,,p_1438275,634,1,1
Local Weekend,72981,636,San Jose Diridon,1,,p_1438275,636,1,1
Local Weekend,72981,638,San Jose Diridon,1,,p_1438275,638,1,1
Local Weekend,72981,640,San Jose Diridon,1,,p_1438275,640,1,1
Local Weekend,72981,642,San Jose Diridon,1,,p_1438275,642,1,1
Local Weekend,72981,644,San Jose Diridon,1,,p_1438275,644,1,1
Local Weekend,72981,646,San Jose Diridon,1,,p_1438275,646,1,1
Local Weekend,72981,648,San Jose Diridon,1,,p_1438275,648,1,1
Local Weekend,72981,650,San Jose Diridon,1,,p_1438275,650,1,1
Local Weekend,72981,652,San Jose Diridon,1,,p_1438275,652,1,1
Local Weekend,72981,654,San Jose Diridon,1,,p_1438275,654,1,1
Local Weekend,72981,656,San Jose Diridon,1,,p_1438275,656,1,1
Local Weekend,72981,658,San Jose Diridon,1,,p_1438275,658,1,1
Local Weekend,72981,660,San Jose Diridon,1,,p_1438275,660,1,1
Local Weekend,72981,662,San Jose Diridon,1,,p_1438275,662,1,1
Local Weekend,72981,664,San Jose Diridon,1,,p_1438275,664,1,1
Local Weekend,72981,668,San Jose Diridon,1,,p_1438275,668,1,1
Express,72982,502,San Jose Diridon,1,,p_1438489,502,1,1
Express,72982,506,San Jose Diridon,1,,p_1438489,506,1,1
Express,72982,510,San Jose Diridon,1,,p_1438489,510,1,1
Express,72982,514,San Jose Diridon,1,,p_1438489,514,1,1
Express,72982,518,San Jose Diridon,1,,p_1438489,518,1,1
Express,72982,522,San Jose Diridon,1,,p_1438489,522,1,1
Express,72982,526,San Jose Diridon,1,,p_1438489,526,1,1
Express,72982,503,San Francisco,0,,p_1438488,503,1,1
Express,72982,507,San Francisco,0,,p_1438488,507,1,1
Express,72982,511,San Francisco,0,,p_1438488,511,1,1
Express,72982,515,San Francisco,0,,p_1438488,515,1,1
Express,72982,519,San Francisco,0,,p_1438488,519,1,1
Express,72982,523,San Francisco,0,,p_1438488,523,1,1
Express,72982,527,San Francisco,0,,p_1438488,527,1,1
